titulo,descricao,inscricoes,link,situacao
Chamada Pública nº 033/2025,Núcleo de Informações Sociais - NINSOC”.,28/05/2025 à 10/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15833-chamada-publica-n-033-2025,Situação:ABERTA
Chamada Pública nº 032/2025,Núcleo de Informações Sociais - NINSOC,28/05/2025 à 10/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15832-chamada-publica-n-032-2025,Situação:ABERTA
Chamada Pública nº 031/2025,Acompanhamento e análise de políticas de igualdade racial.,22/05/2025 à 03/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15822-chamada-publica-n-031-2025,Situação:FECHADA
Chamada Pública nº 030/2025,Acompanhamento e análise da política de assistência social”.,16/05/2025 à 27/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15801-chamada-publica-n-030-2025,Situação:ABERTA
Chamada Pública nº 029/2025,Atlas do Estado Brasileiro”.,29/04/2025 à 18/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15768-chamada-publica-n-029-2025,Situação:FECHADA
Chamada Pública nº 028/2025,Transformação Digital na Administração Pública Federal: Automação de Tarefas e Business Intelligence”.,28/04/2025 à 13/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15759-chamada-publica-n-028-2025,Situação:FECHADA
Chamada Pública 027/2025,Acompanhamento e análise do crédito no Brasil”.,23/04/2025 à 07/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15749-chamada-publica-027-2025,Situação:FECHADA
Chamada Pública 026/2025,"As Relações entre Comércio Internacional, Meio Ambiente e Mudanças Climáticas”.",23/04/2025 à 07/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15748-chamada-publica-026-2025,Situação:FECHADA
Chamada Pública 025/2025,Alocação de recursos públicos por emenda parlamentar: uma avaliação institucional”.,23/04/2025 à 06/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15747-chamada-publica-025-2025,Situação:FECHADA
Chamada Pública nº 24/2025,"Economia Solidária, Inclusão Produtiva e Políticas Públicas no Brasil Contemporâneo”.",15/04/2025 à 30/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15735-chamada-publica-n-24-2025,Situação:FECHADA
